"","TP","Site","Transect_ID","PQ","Category","Total_cover"
"1","April_2022","CB","CB1","1","Acanthastrea",0
"2","April_2022","CB","CB1","1","Black Turf",0
"3","April_2022","CB","CB1","1","Branching Acropora",0
"4","April_2022","CB","CB1","1","Encrusting Montipora",0
"5","April_2022","CB","CB1","1","Goniopora",0
"6","April_2022","CB","CB1","1","Green Turf",0
"7","April_2022","CB","CB1","1","Macroalgae",59
"8","April_2022","CB","CB1","1","Other",0
"9","April_2022","CB","CB1","1","Other Turf",1
"10","April_2022","CB","CB1","1","Other benthic invertebrates",0
"11","April_2022","CB","CB1","1","Other hard coral",0
"12","April_2022","CB","CB1","1","Plating Acropora",0
"13","April_2022","CB","CB1","1","Plating Montipora",0
"14","April_2022","CB","CB1","1","Platygyra",0
"15","April_2022","CB","CB1","1","Pocilloporidae",0
"16","April_2022","CB","CB1","1","Porites",0
"17","April_2022","CB","CB1","1","Red Turf",0
"18","April_2022","CB","CB1","1","Rubble and Rock",0
"19","April_2022","CB","CB1","1","Sand",40
"20","April_2022","CB","CB1","10","Acanthastrea",0
"21","April_2022","CB","CB1","10","Black Turf",0
"22","April_2022","CB","CB1","10","Branching Acropora",0
"23","April_2022","CB","CB1","10","Encrusting Montipora",0
"24","April_2022","CB","CB1","10","Goniopora",0
"25","April_2022","CB","CB1","10","Green Turf",0
"26","April_2022","CB","CB1","10","Macroalgae",3
"27","April_2022","CB","CB1","10","Other",0
"28","April_2022","CB","CB1","10","Other Turf",0
"29","April_2022","CB","CB1","10","Other benthic invertebrates",0
"30","April_2022","CB","CB1","10","Other hard coral",0
"31","April_2022","CB","CB1","10","Plating Acropora",0
"32","April_2022","CB","CB1","10","Plating Montipora",0
"33","April_2022","CB","CB1","10","Platygyra",0
"34","April_2022","CB","CB1","10","Pocilloporidae",0
"35","April_2022","CB","CB1","10","Porites",0
"36","April_2022","CB","CB1","10","Red Turf",0
"37","April_2022","CB","CB1","10","Rubble and Rock",0
"38","April_2022","CB","CB1","10","Sand",97
"39","April_2022","CB","CB1","2","Acanthastrea",0
"40","April_2022","CB","CB1","2","Black Turf",0
"41","April_2022","CB","CB1","2","Branching Acropora",0
"42","April_2022","CB","CB1","2","Encrusting Montipora",0
"43","April_2022","CB","CB1","2","Goniopora",0
"44","April_2022","CB","CB1","2","Green Turf",0
"45","April_2022","CB","CB1","2","Macroalgae",0
"46","April_2022","CB","CB1","2","Other",0
"47","April_2022","CB","CB1","2","Other Turf",0
"48","April_2022","CB","CB1","2","Other benthic invertebrates",0
"49","April_2022","CB","CB1","2","Other hard coral",0
"50","April_2022","CB","CB1","2","Plating Acropora",0
"51","April_2022","CB","CB1","2","Plating Montipora",0
"52","April_2022","CB","CB1","2","Platygyra",0
"53","April_2022","CB","CB1","2","Pocilloporidae",0
"54","April_2022","CB","CB1","2","Porites",0
"55","April_2022","CB","CB1","2","Red Turf",0
"56","April_2022","CB","CB1","2","Rubble and Rock",0
"57","April_2022","CB","CB1","2","Sand",100
"58","April_2022","CB","CB1","3","Acanthastrea",0
"59","April_2022","CB","CB1","3","Black Turf",0
"60","April_2022","CB","CB1","3","Branching Acropora",0
"61","April_2022","CB","CB1","3","Encrusting Montipora",0
"62","April_2022","CB","CB1","3","Goniopora",0
"63","April_2022","CB","CB1","3","Green Turf",0
"64","April_2022","CB","CB1","3","Macroalgae",0
"65","April_2022","CB","CB1","3","Other",0
"66","April_2022","CB","CB1","3","Other Turf",0
"67","April_2022","CB","CB1","3","Other benthic invertebrates",0
"68","April_2022","CB","CB1","3","Other hard coral",0
"69","April_2022","CB","CB1","3","Plating Acropora",0
"70","April_2022","CB","CB1","3","Plating Montipora",0
"71","April_2022","CB","CB1","3","Platygyra",0
"72","April_2022","CB","CB1","3","Pocilloporidae",0
"73","April_2022","CB","CB1","3","Porites",0
"74","April_2022","CB","CB1","3","Red Turf",0
"75","April_2022","CB","CB1","3","Rubble and Rock",0
"76","April_2022","CB","CB1","3","Sand",100
"77","April_2022","CB","CB1","4","Acanthastrea",0
"78","April_2022","CB","CB1","4","Black Turf",0
"79","April_2022","CB","CB1","4","Branching Acropora",0
"80","April_2022","CB","CB1","4","Encrusting Montipora",87
"81","April_2022","CB","CB1","4","Goniopora",0
"82","April_2022","CB","CB1","4","Green Turf",0
"83","April_2022","CB","CB1","4","Macroalgae",0
"84","April_2022","CB","CB1","4","Other",0
"85","April_2022","CB","CB1","4","Other Turf",1
"86","April_2022","CB","CB1","4","Other benthic invertebrates",0
"87","April_2022","CB","CB1","4","Other hard coral",0
"88","April_2022","CB","CB1","4","Plating Acropora",0
"89","April_2022","CB","CB1","4","Plating Montipora",8
"90","April_2022","CB","CB1","4","Platygyra",0
"91","April_2022","CB","CB1","4","Pocilloporidae",0
"92","April_2022","CB","CB1","4","Porites",0
"93","April_2022","CB","CB1","4","Red Turf",0
"94","April_2022","CB","CB1","4","Rubble and Rock",0
"95","April_2022","CB","CB1","4","Sand",4
"96","April_2022","CB","CB1","5","Acanthastrea",0
"97","April_2022","CB","CB1","5","Black Turf",0
"98","April_2022","CB","CB1","5","Branching Acropora",0
"99","April_2022","CB","CB1","5","Encrusting Montipora",0
"100","April_2022","CB","CB1","5","Goniopora",0
"101","April_2022","CB","CB1","5","Green Turf",3
"102","April_2022","CB","CB1","5","Macroalgae",17
"103","April_2022","CB","CB1","5","Other",0
"104","April_2022","CB","CB1","5","Other Turf",6
"105","April_2022","CB","CB1","5","Other benthic invertebrates",0
"106","April_2022","CB","CB1","5","Other hard coral",1
"107","April_2022","CB","CB1","5","Plating Acropora",0
"108","April_2022","CB","CB1","5","Plating Montipora",0
"109","April_2022","CB","CB1","5","Platygyra",0
"110","April_2022","CB","CB1","5","Pocilloporidae",2
"111","April_2022","CB","CB1","5","Porites",0
"112","April_2022","CB","CB1","5","Red Turf",0
"113","April_2022","CB","CB1","5","Rubble and Rock",0
"114","April_2022","CB","CB1","5","Sand",71
"115","April_2022","CB","CB1","6","Acanthastrea",0
"116","April_2022","CB","CB1","6","Black Turf",0
"117","April_2022","CB","CB1","6","Branching Acropora",0
"118","April_2022","CB","CB1","6","Encrusting Montipora",0
"119","April_2022","CB","CB1","6","Goniopora",0
"120","April_2022","CB","CB1","6","Green Turf",0
"121","April_2022","CB","CB1","6","Macroalgae",0
"122","April_2022","CB","CB1","6","Other",0
"123","April_2022","CB","CB1","6","Other Turf",0
"124","April_2022","CB","CB1","6","Other benthic invertebrates",0
"125","April_2022","CB","CB1","6","Other hard coral",0
"126","April_2022","CB","CB1","6","Plating Acropora",0
"127","April_2022","CB","CB1","6","Plating Montipora",0
"128","April_2022","CB","CB1","6","Platygyra",0
"129","April_2022","CB","CB1","6","Pocilloporidae",0
"130","April_2022","CB","CB1","6","Porites",0
"131","April_2022","CB","CB1","6","Red Turf",0
"132","April_2022","CB","CB1","6","Rubble and Rock",0
"133","April_2022","CB","CB1","6","Sand",100
"134","April_2022","CB","CB1","7","Acanthastrea",0
"135","April_2022","CB","CB1","7","Black Turf",0
"136","April_2022","CB","CB1","7","Branching Acropora",0
"137","April_2022","CB","CB1","7","Encrusting Montipora",0
"138","April_2022","CB","CB1","7","Goniopora",0
"139","April_2022","CB","CB1","7","Green Turf",0
"140","April_2022","CB","CB1","7","Macroalgae",1
"141","April_2022","CB","CB1","7","Other",0
"142","April_2022","CB","CB1","7","Other Turf",4
"143","April_2022","CB","CB1","7","Other benthic invertebrates",0
"144","April_2022","CB","CB1","7","Other hard coral",0
"145","April_2022","CB","CB1","7","Plating Acropora",0
"146","April_2022","CB","CB1","7","Plating Montipora",0
"147","April_2022","CB","CB1","7","Platygyra",0
"148","April_2022","CB","CB1","7","Pocilloporidae",0
"149","April_2022","CB","CB1","7","Porites",0
"150","April_2022","CB","CB1","7","Red Turf",0
"151","April_2022","CB","CB1","7","Rubble and Rock",1
"152","April_2022","CB","CB1","7","Sand",94
"153","April_2022","CB","CB1","8","Acanthastrea",0
"154","April_2022","CB","CB1","8","Black Turf",0
"155","April_2022","CB","CB1","8","Branching Acropora",3
"156","April_2022","CB","CB1","8","Encrusting Montipora",14
"157","April_2022","CB","CB1","8","Goniopora",0
"158","April_2022","CB","CB1","8","Green Turf",0
"159","April_2022","CB","CB1","8","Macroalgae",14
"160","April_2022","CB","CB1","8","Other",0
"161","April_2022","CB","CB1","8","Other Turf",3
"162","April_2022","CB","CB1","8","Other benthic invertebrates",0
"163","April_2022","CB","CB1","8","Other hard coral",0
"164","April_2022","CB","CB1","8","Plating Acropora",1
"165","April_2022","CB","CB1","8","Plating Montipora",2
"166","April_2022","CB","CB1","8","Platygyra",0
"167","April_2022","CB","CB1","8","Pocilloporidae",26
"168","April_2022","CB","CB1","8","Porites",0
"169","April_2022","CB","CB1","8","Red Turf",0
"170","April_2022","CB","CB1","8","Rubble and Rock",0
"171","April_2022","CB","CB1","8","Sand",37
"172","April_2022","CB","CB1","9","Acanthastrea",0
"173","April_2022","CB","CB1","9","Black Turf",0
"174","April_2022","CB","CB1","9","Branching Acropora",0
"175","April_2022","CB","CB1","9","Encrusting Montipora",0
"176","April_2022","CB","CB1","9","Goniopora",0
"177","April_2022","CB","CB1","9","Green Turf",0
"178","April_2022","CB","CB1","9","Macroalgae",19
"179","April_2022","CB","CB1","9","Other",0
"180","April_2022","CB","CB1","9","Other Turf",1
"181","April_2022","CB","CB1","9","Other benthic invertebrates",0
"182","April_2022","CB","CB1","9","Other hard coral",0
"183","April_2022","CB","CB1","9","Plating Acropora",0
"184","April_2022","CB","CB1","9","Plating Montipora",0
"185","April_2022","CB","CB1","9","Platygyra",0
"186","April_2022","CB","CB1","9","Pocilloporidae",0
"187","April_2022","CB","CB1","9","Porites",0
"188","April_2022","CB","CB1","9","Red Turf",0
"189","April_2022","CB","CB1","9","Rubble and Rock",0
"190","April_2022","CB","CB1","9","Sand",80
"191","April_2022","CB","CB2","1","Acanthastrea",0
"192","April_2022","CB","CB2","1","Black Turf",0
"193","April_2022","CB","CB2","1","Branching Acropora",0
"194","April_2022","CB","CB2","1","Encrusting Montipora",0
"195","April_2022","CB","CB2","1","Goniopora",0
"196","April_2022","CB","CB2","1","Green Turf",1
"197","April_2022","CB","CB2","1","Macroalgae",16
"198","April_2022","CB","CB2","1","Other",0
"199","April_2022","CB","CB2","1","Other Turf",18
"200","April_2022","CB","CB2","1","Other benthic invertebrates",0
"201","April_2022","CB","CB2","1","Other hard coral",0
"202","April_2022","CB","CB2","1","Plating Acropora",0
"203","April_2022","CB","CB2","1","Plating Montipora",0
"204","April_2022","CB","CB2","1","Platygyra",0
"205","April_2022","CB","CB2","1","Pocilloporidae",0
"206","April_2022","CB","CB2","1","Porites",0
"207","April_2022","CB","CB2","1","Red Turf",0
"208","April_2022","CB","CB2","1","Rubble and Rock",0
"209","April_2022","CB","CB2","1","Sand",65
"210","April_2022","CB","CB2","10","Acanthastrea",1
"211","April_2022","CB","CB2","10","Black Turf",0
"212","April_2022","CB","CB2","10","Branching Acropora",0
"213","April_2022","CB","CB2","10","Encrusting Montipora",0
"214","April_2022","CB","CB2","10","Goniopora",0
"215","April_2022","CB","CB2","10","Green Turf",1
"216","April_2022","CB","CB2","10","Macroalgae",28
"217","April_2022","CB","CB2","10","Other",0
"218","April_2022","CB","CB2","10","Other Turf",3
"219","April_2022","CB","CB2","10","Other benthic invertebrates",0
"220","April_2022","CB","CB2","10","Other hard coral",8
"221","April_2022","CB","CB2","10","Plating Acropora",0
"222","April_2022","CB","CB2","10","Plating Montipora",0
"223","April_2022","CB","CB2","10","Platygyra",11
"224","April_2022","CB","CB2","10","Pocilloporidae",0
"225","April_2022","CB","CB2","10","Porites",0
"226","April_2022","CB","CB2","10","Red Turf",0
"227","April_2022","CB","CB2","10","Rubble and Rock",0
"228","April_2022","CB","CB2","10","Sand",48
"229","April_2022","CB","CB2","2","Acanthastrea",1
"230","April_2022","CB","CB2","2","Black Turf",0
"231","April_2022","CB","CB2","2","Branching Acropora",0
"232","April_2022","CB","CB2","2","Encrusting Montipora",0
"233","April_2022","CB","CB2","2","Goniopora",0
"234","April_2022","CB","CB2","2","Green Turf",0
"235","April_2022","CB","CB2","2","Macroalgae",0
"236","April_2022","CB","CB2","2","Other",0
"237","April_2022","CB","CB2","2","Other Turf",0
"238","April_2022","CB","CB2","2","Other benthic invertebrates",0
"239","April_2022","CB","CB2","2","Other hard coral",0
"240","April_2022","CB","CB2","2","Plating Acropora",96
"241","April_2022","CB","CB2","2","Plating Montipora",0
"242","April_2022","CB","CB2","2","Platygyra",0
"243","April_2022","CB","CB2","2","Pocilloporidae",0
"244","April_2022","CB","CB2","2","Porites",0
"245","April_2022","CB","CB2","2","Red Turf",0
