"","TP","Site","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"1","April_2022","CB","Acanthastrea",1.51666666666667,0.5,6,2.28597171169432,0.933244043347958
"2","April_2022","CB","Branching Acropora",0.233333333333333,0.3,6,0.186189867250253,0.0760116950066092
"3","April_2022","CB","Encrusting Montipora",8.55,6.65,6,7.46799839314391,3.04879757718788
"4","April_2022","CB","Goniopora",1.16666666666667,0.1,6,2.61584912918667,1.06791593510184
"5","April_2022","CB","Other hard coral",1.96666666666667,0.35,6,3.99983332986097,1.63292511905612
"6","April_2022","CB","Plating Acropora",13.6833333333333,14.45,6,11.6821944285595,4.76923590432588
"7","April_2022","CB","Plating Montipora",0.65,0.5,6,0.512835256198323,0.209364116632563
"8","April_2022","CB","Platygyra",2.78333333333333,2.1,6,3.00161067873012,1.22540242822965
"9","April_2022","CB","Pocilloporidae",2.51666666666667,2.8,6,2.10657700231125,0.860006459924058
"10","April_2022","CB","Porites",0.0833333333333333,0,6,0.204124145231932,0.0833333333333333
"11","April_2022","EB","Acanthastrea",0.556363636363636,0,15,1.20838862525994,0.312004601425216
"12","April_2022","EB","Branching Acropora",1.53636363636364,0.1,15,3.7903282123712,0.978658536211585
"13","April_2022","EB","Encrusting Montipora",7.66606060606061,6.6,15,6.3678635928783,1.64417530974255
"14","April_2022","EB","Goniopora",0.361212121212121,0.1,15,0.845108619823209,0.218206107354108
"15","April_2022","EB","Other hard coral",0.436969696969697,0.0909090909090909,15,0.915609529605523,0.236409363986066
"16","April_2022","EB","Plating Acropora",6.74969696969697,0.818181818181818,15,11.9831029535392,3.09402387832975
"17","April_2022","EB","Plating Montipora",7.44606060606061,3.2,15,7.7246515544166,1.99449645503405
"18","April_2022","EB","Platygyra",0.436363636363636,0.1,15,0.514236518701725,0.132775298196231
"19","April_2022","EB","Pocilloporidae",1.19636363636364,0.3,15,2.03101628616403,0.524406150145954
"20","April_2022","EB","Porites",0.236363636363636,0,15,0.359637098997318,0.0928578996729973
"21","April_2022","SB","Acanthastrea",0.62,0,25,1.54029218007494,0.308058436014987
"22","April_2022","SB","Branching Acropora",0.428,0,25,0.977462701760703,0.195492540352141
"23","April_2022","SB","Encrusting Montipora",6.44177777777778,5.6,25,5.48122429326573,1.09624485865315
"24","April_2022","SB","Goniopora",1.06044444444444,0,25,3.0542237501613,0.610844750032261
"25","April_2022","SB","Other hard coral",1.28,0,25,2.90430714629152,0.580861429258304
"26","April_2022","SB","Plating Acropora",4.408,0,25,7.71010808398084,1.54202161679617
"27","April_2022","SB","Plating Montipora",2.58133333333333,1.8,25,2.56105230108424,0.512210460216848
"28","April_2022","SB","Platygyra",0.832,0.5,25,1.01887192521926,0.203774385043852
"29","April_2022","SB","Pocilloporidae",2.536,0.4,25,3.78526529233201,0.757053058466402
"30","April_2022","SB","Porites",0.848444444444444,0.3,25,1.68925398100631,0.337850796201263
"31","Dec_2020","EB","Acanthastrea",2.47333333333333,0.2,15,3.86272787893047,0.997352049735253
"32","Dec_2020","EB","Branching Acropora",0.773333333333333,0.1,15,2.02147989165882,0.521943863672519
"33","Dec_2020","EB","Encrusting Montipora",12.7,12.5,15,6.43816744112795,1.66232768530556
"34","Dec_2020","EB","Goniopora",0.386666666666667,0,15,1.20408036434846,0.31089221324113
"35","Dec_2020","EB","Other hard coral",0.833333333333333,0,15,1.77307910816453,0.457807057161968
"36","Dec_2020","EB","Plating Acropora",8.68,2.4,15,12.8638585635437,3.3214339989715
"37","Dec_2020","EB","Plating Montipora",5.4,4.6,15,4.03272329113431,1.0412446764284
"38","Dec_2020","EB","Platygyra",1.57333333333333,1.6,15,1.47234830247789,0.380158697020908
"39","Dec_2020","EB","Pocilloporidae",1.46,0.6,15,1.91751327058176,0.495099797539657
"40","Dec_2020","EB","Porites",0.52,0.2,15,0.835976759758992,0.215848271224201
"41","Dec_2020","SB","Acanthastrea",1.805,0,20,2.98918665226935,0.66840245519093
"42","Dec_2020","SB","Branching Acropora",1.215,0.15,20,1.90270582951864,0.42545795759888
"43","Dec_2020","SB","Encrusting Montipora",8.285,4.65,20,10.9758239110472,2.45426883741692
"44","Dec_2020","SB","Goniopora",0.07,0,20,0.14179302929938,0.0317058852249032
"45","Dec_2020","SB","Other hard coral",1.34,0,20,2.34552204939764,0.524474674517775
"46","Dec_2020","SB","Plating Acropora",2.235,0.2,20,3.49138413210216,0.780697225494453
"47","Dec_2020","SB","Plating Montipora",2.25,1.65,20,2.60879080680767,0.583343358309847
"48","Dec_2020","SB","Platygyra",2.08,1,20,2.45519856630783,0.548999089252432
"49","Dec_2020","SB","Pocilloporidae",5.05,4.2,20,4.0640270409378,0.908744072593425
