"","TP","Transect_group","Category","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"1","Dec_2020","SB_East","Branching Acropora",3.55,3.9,4,2.72335577306137,1.36167788653068
"2","Dec_2020","SB_East","Plating Acropora",2.75,0.2,4,5.23672925912094,2.61836462956047
"3","Dec_2020","SB_East","Encrusting Montipora",2.175,1.55,4,2.67379256238525,1.33689628119262
"4","Dec_2020","SB_East","Plating Montipora",1.7,0.1,4,3.26802692767364,1.63401346383682
"5","Dec_2020","SB_East","Pocilloporidae",2.5,1.15,4,3.63226283924131,1.81613141962065
"6","Dec_2020","SB_East","Acanthastrea",2.4,0,4,4.8,2.4
"7","Dec_2020","SB_East","Goniopora",0.05,0,4,0.1,0.05
"8","Dec_2020","SB_East","Platygyra",0.925,0,4,1.85,0.925
"9","Dec_2020","SB_East","Porites",1.575,0.5,4,2.52768009579271,1.26384004789636
"10","Dec_2020","SB_East","Other hard coral",0,0,4,0,0
"11","Dec_2020","SB_middle","Branching Acropora",0.171428571428571,0,7,0.340168025708305,0.128571428571429
"12","Dec_2020","SB_middle","Plating Acropora",2.67142857142857,0,7,4.06067083362437,1.53478931169477
"13","Dec_2020","SB_middle","Encrusting Montipora",10.4142857142857,0.2,7,16.2892017986792,6.15673957357876
"14","Dec_2020","SB_middle","Plating Montipora",1.92857142857143,0.2,7,2.62977456937173,0.993961359245655
"15","Dec_2020","SB_middle","Pocilloporidae",6.01428571428571,4.7,7,3.53007486768037,1.33424288704593
"16","Dec_2020","SB_middle","Acanthastrea",2.32857142857143,0,7,3.0125926186118,1.1386529814851
"17","Dec_2020","SB_middle","Goniopora",0.114285714285714,0,7,0.219306265517513,0.0828899770739486
"18","Dec_2020","SB_middle","Platygyra",2.52857142857143,0.6,7,3.11593446963309,1.17771252974616
"19","Dec_2020","SB_middle","Porites",0.3,0.3,7,0.365148371670111,0.138013111868471
"20","Dec_2020","SB_middle","Other hard coral",0.885714285714286,0,7,1.53994434036707,0.582044251070382
"21","Dec_2020","SB_west","Branching Acropora",1.27142857142857,0.8,7,1.49634475273836,0.565565155908876
"22","Dec_2020","SB_west","Plating Acropora",1.18571428571429,0.4,7,1.60044636630803,0.604911867421147
"23","Dec_2020","SB_west","Encrusting Montipora",9.42857142857143,6.2,7,8.97806851643015,3.39339093545326
"24","Dec_2020","SB_west","Plating Montipora",3.22857142857143,3.2,7,2.66002148219038,1.00539361770931
"25","Dec_2020","SB_west","Pocilloporidae",6.71428571428571,6,7,4.32297296291513,1.63393019776136
"26","Dec_2020","SB_west","Acanthastrea",0.685714285714286,0,7,1.72764634829062,0.652988941577979
"27","Dec_2020","SB_west","Goniopora",0.0571428571428571,0,7,0.0786795792469443,0.029738085706659
"28","Dec_2020","SB_west","Platygyra",2.28571428571429,1.1,7,2.46808196205648,0.932847298132257
"29","Dec_2020","SB_west","Porites",0.828571428571429,0.9,7,0.871233389539002,0.329295268945152
"30","Dec_2020","SB_west","Other hard coral",1.67142857142857,1.5,7,1.91286372202716,0.722994528634466
"31","March_2021","SB_East","Branching Acropora",2.02857142857143,0.1,7,4.88798332161444,1.84748404023189
"32","March_2021","SB_East","Plating Acropora",5.45714285714286,0.5,7,6.81269822778443,2.57495789543544
"33","March_2021","SB_East","Encrusting Montipora",9.44285714285714,7.8,7,9.09484416997842,3.43752798380694
"34","March_2021","SB_East","Plating Montipora",3,0.4,7,3.91407715815619,1.47938211039996
"35","March_2021","SB_East","Pocilloporidae",7.44285714285714,10.1,7,7.70732490186168,2.91309499484304
"36","March_2021","SB_East","Acanthastrea",0.157142857142857,0,7,0.41576092031015,0.157142857142857
"37","March_2021","SB_East","Goniopora",0.214285714285714,0.2,7,0.260950643025148,0.0986300722724189
"38","March_2021","SB_East","Platygyra",1.54285714285714,0,7,2.30929797619474,0.872832592593721
"39","March_2021","SB_East","Porites",0.771428571428571,0,7,1.09805022003289,0.415023972752398
"40","March_2021","SB_East","Other hard coral",1.37142857142857,0,7,2.29544061544785,0.867595002541724
"41","March_2021","SB_middle","Branching Acropora",0.0444444444444444,0,9,0.0726483157256779,0.0242161052418926
"42","March_2021","SB_middle","Plating Acropora",6.51111111111111,0,9,12.9418356932512,4.31394523108374
"43","March_2021","SB_middle","Encrusting Montipora",1.34444444444444,1,9,1.43710743431999,0.479035811439996
"44","March_2021","SB_middle","Plating Montipora",0.955555555555555,0,9,2.50105533281009,0.833685110936696
"45","March_2021","SB_middle","Pocilloporidae",1.47777777777778,0,9,2.8713140623144,0.957104687438135
"46","March_2021","SB_middle","Acanthastrea",0.633333333333333,0,9,1.52315462117278,0.507718207057594
"47","March_2021","SB_middle","Goniopora",0.0444444444444444,0,9,0.052704627669473,0.0175682092231577
"48","March_2021","SB_middle","Platygyra",1.81111111111111,1.6,9,2.03066765156465,0.676889217188218
"49","March_2021","SB_middle","Porites",0.6,0,9,0.95,0.316666666666667
"50","March_2021","SB_middle","Other hard coral",0.0888888888888889,0,9,0.169148192751537,0.056382730917179
"51","March_2021","SB_west","Branching Acropora",1.85714285714286,0,7,3.73802851017179,1.41284197594055
"52","March_2021","SB_west","Plating Acropora",12.4285714285714,9.9,7,15.101624006015,5.70787735901694
"53","March_2021","SB_west","Encrusting Montipora",4.52857142857143,3.9,7,5.69230892980879,2.1514905448609
"54","March_2021","SB_west","Plating Montipora",0.985714285714286,0,7,1.59209356030414,0.601754803501738
"55","March_2021","SB_west","Pocilloporidae",1.9,1.6,7,1.14891252930761,0.434248118673447
"56","March_2021","SB_west","Acanthastrea",0.257142857142857,0,7,0.637330743170668,0.240888378475081
"57","March_2021","SB_west","Goniopora",0.0285714285714286,0,7,0.0755928946018455,0.0285714285714286
"58","March_2021","SB_west","Platygyra",3.2,0.1,7,6.16468436607531,2.33003167769188
"59","March_2021","SB_west","Porites",0.457142857142857,0,7,1.16598619611203,0.440701358149518
"60","March_2021","SB_west","Other hard coral",0.542857142857143,0,7,0.916255318960719,0.34631195877289
"61","April_2022","SB_East","Branching Acropora",0.757142857142857,0,7,1.45356704106042,0.549396700657983
"62","April_2022","SB_East","Plating Acropora",1.91428571428571,0,7,4.21205752233141,1.59200810171254
"63","April_2022","SB_East","Encrusting Montipora",4.78571428571429,5.5,7,4.33798285359627,1.63960340318258
"64","April_2022","SB_East","Plating Montipora",2.87142857142857,1.9,7,3.34450508830743,1.2641041031788
"65","April_2022","SB_East","Pocilloporidae",2.68571428571429,0.7,7,4.07530308542754,1.5403197830365
"66","April_2022","SB_East","Acanthastrea",1.27142857142857,0.2,7,2.679374482794,1.01270836438361
"67","April_2022","SB_East","Goniopora",2.11428571428571,0,7,5.4195413617232,2.04839409473542
"68","April_2022","SB_East","Platygyra",0.8,0.3,7,1.22474487139159,0.462910049886276
"69","April_2022","SB_East","Porites",0.342857142857143,0,7,0.588379534136323,0.22238656054925
"70","April_2022","SB_East","Other hard coral",0.871428571428571,0.3,7,1.14704589520833,0.433542597299815
"71","April_2022","SB_middle","Branching Acropora",0.345454545454545,0,11,0.889228470488475,0.268112471773808
"72","April_2022","SB_middle","Plating Acropora",7.01818181818182,3.4,11,9.26442855030122,2.79333030894594
"73","April_2022","SB_middle","Encrusting Montipora",8.37676767676768,6.6,11,6.66004199472441,2.00807821677373
"74","April_2022","SB_middle","Plating Montipora",2.63030303030303,1.8,11,2.22203383039826,0.669968407900656
"75","April_2022","SB_middle","Pocilloporidae",2.66363636363636,0.4,11,3.7227067376501,1.12243831393758
"76","April_2022","SB_middle","Acanthastrea",0.409090909090909,0,11,0.768706114785807,0.231773614254217
