"","TP","Site","Main_groups","avg.cover.all","median_cover","N","SD_cover","SE_cover"
"1","April_2022","CB","Black Turf",0,0,6,0,0
"2","April_2022","CB","Green Turf",0.6,0.75,6,0.374165738677394,0.152752523165195
"3","April_2022","CB","Hard coral",33.15,31.9,6,13.8534833164804,5.65566088092276
"4","April_2022","CB","Macroalgae",12.2166666666667,11.4,6,5.68380740935745,2.32040465819602
"5","April_2022","CB","Other",0,0,6,0,0
"6","April_2022","CB","Other Turf",6.91666666666667,7.15,6,3.36060510424338,1.37196128873149
"7","April_2022","CB","Other benthic invertebrates",0.733333333333333,0.45,6,0.809114742583934,0.330319710449
"8","April_2022","CB","Red Turf",0,0,6,0,0
"9","April_2022","CB","Rubble and Rock",0.533333333333333,0.2,6,0.826236447190916,0.337309617084627
"10","April_2022","CB","Sand",45.85,42.5,6,16.1668487962249,6.6000883832466
"11","April_2022","EB","Black Turf",0.318181818181818,0.2,15,0.325373275784969,0.0840110185610758
"12","April_2022","EB","Green Turf",1.11393939393939,1,15,0.967883721358938,0.249906502259228
"13","April_2022","EB","Hard coral",26.6218181818182,29.8181818181818,15,13.1647012915011,3.3991112573186
"14","April_2022","EB","Macroalgae",14.4545454545455,15.3636363636364,15,6.24796165108177,1.61321676149215
"15","April_2022","EB","Other",0.00666666666666667,0,15,0.0258198889747161,0.00666666666666667
"16","April_2022","EB","Other Turf",2.19090909090909,1.6,15,2.04211560091706,0.527271980892142
"17","April_2022","EB","Other benthic invertebrates",0.827878787878788,0.8,15,0.512931554895847,0.132438357990393
"18","April_2022","EB","Red Turf",22.6454545454545,17.1818181818182,15,15.7982685524775,4.07909540017717
"19","April_2022","EB","Rubble and Rock",0.717575757575758,0,15,2.14620410268312,0.554147516483585
"20","April_2022","EB","Sand",31.1030303030303,24.6363636363636,15,24.1623395005066,6.23868923272478
"21","April_2022","SB","Black Turf",0.612,0.2,25,0.804321660365636,0.160864332073127
"22","April_2022","SB","Green Turf",0.546222222222222,0.4,25,0.48732578400192,0.0974651568003841
"23","April_2022","SB","Hard coral",21.036,19,25,11.2924709430664,2.25849418861329
"24","April_2022","SB","Macroalgae",20.8850505050505,17.3,25,11.8052179717304,2.36104359434607
"25","April_2022","SB","Other",0,0,25,0,0
"26","April_2022","SB","Other Turf",5.99155555555556,5.2,25,4.65505751777861,0.931011503555722
"27","April_2022","SB","Other benthic invertebrates",0.713777777777778,0.444444444444444,25,0.896766482121622,0.179353296424324
"28","April_2022","SB","Red Turf",18.0875555555556,17.7,25,12.4036800592544,2.48073601185088
"29","April_2022","SB","Rubble and Rock",0.464,0.4,25,0.469822661579168,0.0939645323158336
"30","April_2022","SB","Sand",31.6638383838384,29.6,25,21.2163623165217,4.24327246330435
"31","Dec_2020","EB","Black Turf",14.1733333333333,12.6,15,10.4731948097899,2.70416727199348
"32","Dec_2020","EB","Green Turf",1.50666666666667,1.3,15,1.078005212462,0.27833974899934
"33","Dec_2020","EB","Hard coral",34.8,35.1,15,14.8108550925133,3.82414634109303
"34","Dec_2020","EB","Macroalgae",17.6066666666667,15.7,15,5.76113414760207,1.48751844059531
"35","Dec_2020","EB","Other",0.00666666666666667,0,15,0.0258198889747161,0.00666666666666667
"36","Dec_2020","EB","Other Turf",8.24,7.9,15,2.0642535835364,0.532987983425696
"37","Dec_2020","EB","Other benthic invertebrates",1.11333333333333,0.7,15,1.19155760406685,0.307658850439847
"38","Dec_2020","EB","Red Turf",0.233333333333333,0.1,15,0.375436254179562,0.096937223999996
"39","Dec_2020","EB","Rubble and Rock",1.2,1.1,15,0.936559051604787,0.24181850730701
"40","Dec_2020","EB","Sand",21.12,19,15,12.0369787381576,3.10793454610247
"41","Dec_2020","SB","Black Turf",18.08,18.65,20,9.1187256727427,2.03900904724252
