"","TP","Site","Transect_ID","Main_groups","avg.cover"
"1","April_2022","CB","CB1","Black Turf",0
"2","April_2022","CB","CB1","Green Turf",0.3
"3","April_2022","CB","CB1","Hard coral",14.4
"4","April_2022","CB","CB1","Macroalgae",11.3
"5","April_2022","CB","CB1","Other",0
"6","April_2022","CB","CB1","Other Turf",1.6
"7","April_2022","CB","CB1","Other benthic invertebrates",0
"8","April_2022","CB","CB1","Red Turf",0
"9","April_2022","CB","CB1","Rubble and Rock",0.1
"10","April_2022","CB","CB1","Sand",72.3
"11","April_2022","CB","CB2","Black Turf",0
"12","April_2022","CB","CB2","Green Turf",0.7
"13","April_2022","CB","CB2","Hard coral",27.4
"14","April_2022","CB","CB2","Macroalgae",23.1
"15","April_2022","CB","CB2","Other",0
"16","April_2022","CB","CB2","Other Turf",8.9
"17","April_2022","CB","CB2","Other benthic invertebrates",0.8
"18","April_2022","CB","CB2","Red Turf",0
"19","April_2022","CB","CB2","Rubble and Rock",0.4
"20","April_2022","CB","CB2","Sand",38.7
"21","April_2022","CB","CB3","Black Turf",0
"22","April_2022","CB","CB3","Green Turf",0
"23","April_2022","CB","CB3","Hard coral",24.4
"24","April_2022","CB","CB3","Macroalgae",11.5
"25","April_2022","CB","CB3","Other",0
"26","April_2022","CB","CB3","Other Turf",5.4
"27","April_2022","CB","CB3","Other benthic invertebrates",0.4
"28","April_2022","CB","CB3","Red Turf",0
"29","April_2022","CB","CB3","Rubble and Rock",2.2
"30","April_2022","CB","CB3","Sand",56.1
"31","April_2022","CB","CB5","Black Turf",0
"32","April_2022","CB","CB5","Green Turf",0.8
"33","April_2022","CB","CB5","Hard coral",43.8
"34","April_2022","CB","CB5","Macroalgae",12.1
"35","April_2022","CB","CB5","Other",0
"36","April_2022","CB","CB5","Other Turf",11.3
"37","April_2022","CB","CB5","Other benthic invertebrates",0.4
"38","April_2022","CB","CB5","Red Turf",0
"39","April_2022","CB","CB5","Rubble and Rock",0.1
"40","April_2022","CB","CB5","Sand",31.5
"41","April_2022","CB","CB6","Black Turf",0
"42","April_2022","CB","CB6","Green Turf",1
"43","April_2022","CB","CB6","Hard coral",52.5
"44","April_2022","CB","CB6","Macroalgae",7.7
"45","April_2022","CB","CB6","Other",0
"46","April_2022","CB","CB6","Other Turf",6
"47","April_2022","CB","CB6","Other benthic invertebrates",2.3
"48","April_2022","CB","CB6","Red Turf",0
"49","April_2022","CB","CB6","Rubble and Rock",0.3
"50","April_2022","CB","CB6","Sand",30.2
"51","April_2022","CB","CB7","Black Turf",0
"52","April_2022","CB","CB7","Green Turf",0.8
"53","April_2022","CB","CB7","Hard coral",36.4
"54","April_2022","CB","CB7","Macroalgae",7.6
"55","April_2022","CB","CB7","Other",0
"56","April_2022","CB","CB7","Other Turf",8.3
"57","April_2022","CB","CB7","Other benthic invertebrates",0.5
"58","April_2022","CB","CB7","Red Turf",0
"59","April_2022","CB","CB7","Rubble and Rock",0.1
"60","April_2022","CB","CB7","Sand",46.3
"61","April_2022","EB","EB1","Black Turf",0
"62","April_2022","EB","EB1","Green Turf",0.363636363636364
"63","April_2022","EB","EB1","Hard coral",8.45454545454546
"64","April_2022","EB","EB1","Macroalgae",17.8181818181818
"65","April_2022","EB","EB1","Other",0
"66","April_2022","EB","EB1","Other Turf",0.0909090909090909
"67","April_2022","EB","EB1","Other benthic invertebrates",0.909090909090909
"68","April_2022","EB","EB1","Red Turf",56.6363636363636
"69","April_2022","EB","EB1","Rubble and Rock",8.36363636363636
"70","April_2022","EB","EB1","Sand",7.36363636363636
"71","April_2022","EB","EB10","Black Turf",0.5
"72","April_2022","EB","EB10","Green Turf",1.4
"73","April_2022","EB","EB10","Hard coral",40.5
"74","April_2022","EB","EB10","Macroalgae",20.6
"75","April_2022","EB","EB10","Other",0
"76","April_2022","EB","EB10","Other Turf",1.2
"77","April_2022","EB","EB10","Other benthic invertebrates",1.3
"78","April_2022","EB","EB10","Red Turf",20.7
"79","April_2022","EB","EB10","Rubble and Rock",0
"80","April_2022","EB","EB10","Sand",13.8
"81","April_2022","EB","EB11","Black Turf",0.5
"82","April_2022","EB","EB11","Green Turf",1
"83","April_2022","EB","EB11","Hard coral",18
"84","April_2022","EB","EB11","Macroalgae",10.6
"85","April_2022","EB","EB11","Other",0
"86","April_2022","EB","EB11","Other Turf",2.1
"87","April_2022","EB","EB11","Other benthic invertebrates",0.7
"88","April_2022","EB","EB11","Red Turf",16.2
"89","April_2022","EB","EB11","Rubble and Rock",0
"90","April_2022","EB","EB11","Sand",50.9
"91","April_2022","EB","EB12","Black Turf",0
"92","April_2022","EB","EB12","Green Turf",0.2
"93","April_2022","EB","EB12","Hard coral",7.5
"94","April_2022","EB","EB12","Macroalgae",15.9
"95","April_2022","EB","EB12","Other",0
"96","April_2022","EB","EB12","Other Turf",0.1
"97","April_2022","EB","EB12","Other benthic invertebrates",0.8
"98","April_2022","EB","EB12","Red Turf",6.4
"99","April_2022","EB","EB12","Rubble and Rock",0
"100","April_2022","EB","EB12","Sand",69.1
"101","April_2022","EB","EB13","Black Turf",0.1
"102","April_2022","EB","EB13","Green Turf",0.6
"103","April_2022","EB","EB13","Hard coral",30.2
"104","April_2022","EB","EB13","Macroalgae",9.8
"105","April_2022","EB","EB13","Other",0.1
"106","April_2022","EB","EB13","Other Turf",3.3
"107","April_2022","EB","EB13","Other benthic invertebrates",0.3
"108","April_2022","EB","EB13","Red Turf",11.7
"109","April_2022","EB","EB13","Rubble and Rock",1.1
"110","April_2022","EB","EB13","Sand",42.8
"111","April_2022","EB","EB14","Black Turf",0.0909090909090909
"112","April_2022","EB","EB14","Green Turf",0.181818181818182
"113","April_2022","EB","EB14","Hard coral",8.09090909090909
"114","April_2022","EB","EB14","Macroalgae",12.4545454545455
"115","April_2022","EB","EB14","Other",0
"116","April_2022","EB","EB14","Other Turf",1.36363636363636
"117","April_2022","EB","EB14","Other benthic invertebrates",1.18181818181818
"118","April_2022","EB","EB14","Red Turf",7.18181818181818
"119","April_2022","EB","EB14","Rubble and Rock",0
"120","April_2022","EB","EB14","Sand",69.4545454545455
"121","April_2022","EB","EB15","Black Turf",0.6
"122","April_2022","EB","EB15","Green Turf",1.7
